name,pm_ra,pm_dec,parallax,spect_type,lii,bii,vmag,bv_color,vi_color,vi_color_reduct,_class,dist
HIP 93007, -112.00,   -3.42,  23.47,G5,98.94021505,24.57674704, 7.62, 0.676,0.74,0.73,STAR G5,42.6075841499787
HIP 109196,  111.12,   38.00,  10.28,F2,108.65319653,10.11037747, 7.52, 0.428,0.5,0.5,STAR F2,97.2762645914397
HIP 67589, -176.59,  -58.13,  10.52,K2IV,114.79738285,47.86128857, 6.39, 1.179,1.15,1.15,STAR K2IV,95.0570342205323
HIP 109980,  377.97,   -9.38,  41.69,K5,109.38530902,9.64391845, 9.23, 1.170,1.28,1.28,STAR K5,23.9865675221876
HIP 86162, -320.47,-1269.55, 220.85,M3.5Vvar,98.60582893,31.96295231, 9.15, 1.505,2.11,2.11,STAR M3V,4.52796015395065
HIP 104969,   12.74,  -47.79,  13.31,F0,105.08696107,13.32821588, 7.92, 0.422,0.49,0.49,STAR F0,75.1314800901578
HIP 19458,   58.16,  -23.40,  13.20,F0,139.63237484,12.21079012, 7.24, 0.330,0.38,0.4,STAR F0,75.7575757575758
HIP 39616, -213.62, -223.11,  16.92,F5,147.21990348,31.89462013, 8.16, 0.529,0.6,0.58,STAR F5,59.1016548463357
HIP 86187,    4.93,   83.50,  11.30,F5,98.65014265,31.93435589, 8.05, 0.441,0.51,0.59,STAR F5,88.4955752212389
HIP 29300,  -19.42, -123.12,  12.33,F0,145.82976092,21.46974438, 7.71, 0.407,0.47,0.48,STAR F0,81.10300081103
HIP 113989,  592.20,  162.21,  33.65,G6V,113.37206511,7.54170601, 7.49, 0.646,0.71,0.71,STAR G6V,29.7176820208024
HIP 49686, -262.95, -136.49,  28.14,G5,141.8213806,42.2187829, 8.79, 0.770,0.81,0.8,STAR G5,35.5366027007818
HIP 103702,   72.51,   30.45,  10.77,G0,104.24106071,14.42472449,10.2, 0.831,0.85,0.73,STAR G0,92.8505106778087
HIP 44683,   22.55,   14.32,  10.19,A5,145.51203293,37.27750154, 7.08, 0.266,0.3,0.29,STAR A5,98.135426889107
HIP 35274,  249.44,   29.51,  26.98,K8,147.20179059,27.44469456,10.2, 1.190,1.32,1.32,STAR K8,37.0644922164566
HIP 67058, -270.72,   45.01,  25.39,M2,115.71274438,47.91385032,11.62, 1.590,2.58,2.58,STAR M2,39.3855848759354
HIP 61896,   -6.63,   -4.48,  10.04,,124.37094922,48.590643,11.51, 0.876,0.89,0.7,UNIDENTIFIED,99.601593625498
HIP 61157,   63.05,  -36.93,  11.56,F5,125.6284859,48.51107098, 7.37, 0.529,0.6,0.59,STAR F5,86.5051903114187
HIP 78630, -230.68,  126.77,  14.67,G5,102.15911764,39.9897526, 9.74, 0.730,0.78,0.78,STAR G5,68.1663258350375
HIP 35579,   -7.66,  -50.17,  19.71,,147.14150166,27.74987144,10.58, 0.607,0.68,0.71,UNIDENTIFIED,50.7356671740233
HIP 102466,  110.53,  137.43,  15.09,G5,103.46245957,15.5834793, 8.60, 0.686,0.74,0.66,STAR G5,66.2690523525514
HIP 88188,   -5.57,   92.49,  15.46,K2,98.68262571,29.73572518, 9.69, 0.829,0.87,1.4,STAR K2,64.6830530401035
HIP 112670,  117.30,   67.39,  16.01,F5,112.09599954,8.31365655, 6.19, 0.440,0.51,0.49,STAR F5,62.4609618988132
HIP 90902,  -15.25,   66.58,  11.05,G5,98.89968982,26.83148382, 7.58, 0.532,0.6,0.58,STAR G5,90.4977375565611
HIP 36635, -174.52, -117.30,  40.48,M0,147.10424283,28.80180126,10.84, 1.494,2.03,2.03,STAR M0,24.703557312253
HIP 89523,  127.76,  441.41,  12.04,G5,98.80756153,28.32706144,10.13, 0.690,0.75,0.75,STAR G5,83.0564784053156
HIP 105849,  124.56,  124.59,  14.91,,105.9947275,12.82717817,10.6, 0.797,0.83,0.76,UNIDENTIFIED,67.0690811535882
HIP 17749,  126.40,  239.69,  57.53,K0,137.89116854,11.09746011, 9.17, 1.314,1.52,1.52,STAR K0,17.3822353554667
HIP 17750,   61.30,  464.88,  57.53,M2...,137.88881275,11.10151289, 9.41, 1.530,2.3,3.59,STAR M2,17.3822353554667
HIP 25233,    4.35, -315.48,  31.21,K7,143.65967257,17.70091876,10.99, 1.340,1.55,1.55,STAR K7,32.0410124959949
HIP 77838,    1.86,  -32.44,  21.70,F5,102.97541504,40.62562839, 6.76, 0.544,0.62,0.59,STAR F5,46.0829493087558
HIP 26452,  245.70, -143.91,  13.14,,144.24719893,18.83281762, 9.60, 0.513,0.59,0.61,UNIDENTIFIED,76.103500761035
HIP 75218,  -81.44,   92.47,  17.76,K0,105.33091019,42.86128581, 9.47, 0.820,0.86,0.94,STAR K0,56.3063063063063
HIP 69855,  -42.21,   27.42,  14.28,F2,111.77400175,46.46157268, 7.53, 0.395,0.46,0.45,STAR F2,70.0280112044818
HIP 33624,   19.45,   17.76,  12.61,F8,146.66077564,25.8369709, 7.73, 0.560,0.63,0.64,STAR F8,79.3021411578113
HIP 89448,   17.17,  -63.73,  11.48,K1III:,98.92735094,28.40221698, 5.96, 1.055,1.02,1.02,STAR K1III,87.1080139372822
HIP 86201,    1.34,  321.05,  42.62,F5V,99.0849831,31.86829992, 4.77, 0.430,0.49,0.49,STAR F5V,23.4631628343501
HIP 54797,    2.12,  -39.80,  10.20,G0,135.43450233,45.89977442, 8.24, 0.581,0.65,0.62,STAR G0,98.0392156862745
HIP 46513,   32.81,    5.29,  10.98,G5,144.03362944,39.03678032, 9.05, 1.037,1.01,0.97,STAR G5,91.0746812386157
HIP 4446,   97.59,  -35.05,  16.73,F0m,123.43036181,5.90929573, 6.39, 0.375,0.44,0.44,STAR F0,59.7728631201435
HIP 5518,   35.26,  -27.48,  10.26,A0Vnn,124.67858584,5.97213436, 5.32,-0.014,0.01,0.01,STAR A0V,97.4658869395712
HIP 63346, -294.31,  244.42,  29.07,G0,121.92629168,48.32917387, 8.07, 0.676,0.74,0.74,STAR G0,34.3997248022016
HIP 49230,  -30.80,  -21.66,  15.15,F5,141.87155277,41.60128651, 7.88, 0.510,0.58,0.58,STAR F5,66.006600660066
HIP 61811, -438.45,   30.61,  22.25,F8,124.47605253,48.29178352, 7.88, 0.610,0.68,0.68,STAR F8,44.9438202247191
HIP 28996,   18.24,  -28.57,  10.37,G5,145.31848509,21.30011703, 9.41, 0.549,0.62,0.77,STAR G5,96.4320154291225
HIP 76604,  -67.51,   85.16,  16.98,F5,104.12154225,41.6691538, 7.45, 0.455,0.52,0.56,STAR F5,58.8928150765607
HIP 1629,   99.60,    8.09,  10.16,F2,120.12050436,6.14501124, 7.66, 0.337,0.39,0.44,STAR F2,98.4251968503937
HIP 51197,  158.90,  -68.01,  25.78,K2,139.84992086,43.23569289, 9.30, 0.969,1.02,1.36,STAR K2,38.7897595034911
HIP 92306,   80.63,  163.52,  13.33,G5,99.41977796,25.40642537, 9.67, 0.628,0.7,0.66,STAR G5,75.0187546886722
HIP 84714,   34.30,    6.89,  11.93,G0,99.52672334,33.45342891, 7.96, 0.554,0.63,0.63,STAR G0,83.8222967309304
HIP 34114,   45.84,   -1.54,  10.25,F8,146.57872409,26.32997423, 8.10, 0.538,0.61,0.59,STAR F8,97.5609756097561
HIP 48635,  -70.29,  -62.27,  12.02,G+...,142.26247908,40.93509571, 9.84, 0.671,0.73,1.04,STAR G0,83.1946755407654
HIP 7339, -379.06,  115.05,  47.65,G6V,126.80918344,6.40139085, 6.52, 0.686,0.74,0.74,STAR G6V,20.9863588667366
HIP 23730,  -10.38,  -18.39,  11.01,F2,142.52771379,16.49657961, 6.68, 0.391,0.46,0.46,STAR F2,90.8265213442325
HIP 67109,  116.17,   52.03,  22.67,F8,115.85013744,47.38119919, 7.96, 0.552,0.62,0.65,STAR F8,44.1111601235112
HIP 56948, -127.47,   -1.64,  15.01,G5,132.11287627,46.83457306, 8.67, 0.647,0.71,0.69,STAR G5,66.6222518321119
HIP 82887,   51.96, -140.22,  15.62,K2,100.27791834,35.39548409, 9.53, 0.853,0.9,1.36,STAR K2,64.0204865556978
HIP 113477,  593.24,  299.10,  24.52,K0V,113.11015977,8.33261482, 8.76, 0.782,0.82,0.82,STAR K0V,40.7830342577488
HIP 40964,  -41.89,  -55.92,  11.53,F2,146.20489884,33.2211469, 8.25, 0.483,0.55,0.55,STAR F2,86.7302688638335
HIP 32945,  -16.95, -207.24,  20.14,K4,146.22398896,25.23060197, 9.75, 1.088,1.16,1.16,STAR K4,49.6524329692155
HIP 4454,  715.26, -234.39,  41.45,K4V,123.43696294,6.17778114, 9.12, 1.025,1.07,1.07,STAR K4V,24.1254523522316
HIP 59095,    5.39,    6.13,  11.27,,128.76871799,47.55218873, 9.95, 0.995,0.97,0.7,UNIDENTIFIED,88.7311446317658
HIP 86775,  -61.79,  -43.21,  15.80,F8,99.37774644,31.21094277, 7.82, 0.554,0.63,0.63,STAR F8,63.2911392405063
HIP 112584,    0.89,   -0.26,  15.48,G0,112.25898632,8.79884121, 9.12, 0.620,0.69,0.6,STAR G0,64.5994832041344
HIP 59094,    6.09,   30.98,  11.27,G5,128.7667208,47.54685716, 8.19, 0.540,0.61,0.54,STAR G5,88.7311446317658
HIP 7949,  183.98,   -7.67,  21.08,F5,127.45165113,6.66004289, 7.53, 0.586,0.66,0.66,STAR F5,47.438330170778
HIP 83919,  -72.32,   22.23,  10.26,G0,100.02419809,34.27410996, 8.38, 0.465,0.54,0.54,STAR G0,97.4658869395712
HIP 80161,  -18.48,  -10.59,  11.09,K2III,101.79639898,38.22792005, 5.26, 1.115,1.08,1.07,STAR K2III,90.1713255184851
HIP 98288,  144.00,  136.14,  14.20,G5,101.70910612,19.57547813, 9.27, 0.630,0.7,0.7,STAR G5,70.4225352112676
HIP 86481,   55.32,  124.74,  13.18,F2,99.50416555,31.52713198, 7.01, 0.442,0.51,0.49,STAR F2,75.8725341426404
HIP 23425,   86.38,  -79.28,  15.83,F5,142.15616615,16.30544996, 7.12, 0.446,0.52,0.52,STAR F5,63.1711939355654
HIP 83114,   -0.18,  -40.64,  11.46,K0,100.40141309,35.11175727, 6.41, 0.725,0.78,0.76,STAR K0,87.2600349040139
HIP 13836,   97.09,  -94.75,  12.43,F2,133.81703426,9.04365645, 7.72, 0.426,0.49,0.49,STAR F2,80.450522928399
HIP 55076,  -62.59,  -34.26,  12.31,G0,134.72019881,45.67716348, 8.23, 0.611,0.68,0.68,STAR G0,81.2347684809098
HIP 86534,  127.56,  217.27,  24.18,K5,99.57735424,31.44985957, 9.67, 1.065,1.03,2.45,STAR K5,41.3564929693962
HIP 4907,  223.88, -148.38,  38.73,G5,123.95839964,6.37861427, 7.67, 0.756,0.8,0.8,STAR G5,25.8197779499096
HIP 99922,    8.26,  -41.78,  12.48,F5,102.57395295,18.17869915, 9.20, 0.588,0.66,0.72,STAR F5,80.1282051282051
HIP 22777,  220.21, -125.14,  13.44,G5,141.65293031,15.76155017, 9.78, 0.850,0.89,0.86,STAR G5,74.4047619047619
HIP 75700,  -35.70,   22.91,  11.15,G5,105.37888776,42.1521802, 9.69, 0.699,0.76,0.66,STAR G5,89.6860986547085
HIP 6729,  153.95, -143.59,  12.31,G0,126.06286869,6.59341001, 9.51, 0.572,0.64,0.65,STAR G0,81.2347684809098
HIP 16213,   -9.42,   37.01,  14.52,F5,136.1251796,10.54999958, 7.35, 0.505,0.58,0.58,STAR F5,68.870523415978
HIP 47356,  -14.49,  -17.32,  10.71,F0,142.89820104,39.54036864, 8.13, 0.448,0.52,0.52,STAR F0,93.3706816059757
HIP 84179,   12.09, -151.18,  17.22,K0,100.17388736,33.92880575, 8.43, 0.670,0.73,0.73,STAR K0,58.0720092915215
HIP 29997,   -1.64, -101.65,  18.55,A0Vn,145.15909656,22.46125977, 4.76, 0.025,0.05,0.05,STAR A0V,53.9083557951482
HIP 56583,  109.23, -126.40,  13.49,K0III,132.45095093,46.38669035, 5.19, 0.974,0.96,0.96,STAR K0III,74.1289844329133
HIP 3641,  166.87,   15.31,  24.65,F3V,122.50550063,6.45759743, 6.39, 0.424,0.49,0.47,STAR F3V,40.5679513184584
HIP 1068,  717.01, -292.41,  37.30,M6,119.55157081,6.70690019,12.49, 1.400,1.67,1.67,STAR M6,26.8096514745308
HIP 91812,  -72.25,   -5.01,  13.54,G5,99.85044687,25.97643593, 7.99, 0.542,0.62,0.59,STAR G5,73.8552437223043
HIP 110307,  -85.95,  -45.11,  14.55,F5,110.27104865,10.28994833, 7.69, 0.515,0.59,0.63,STAR F5,68.7285223367698
HIP 39361,   18.82, -200.88,  10.24,K0,146.10410557,31.51767653, 9.30, 0.692,0.75,0.76,STAR K0,97.65625
HIP 116617,  112.38,   60.62,  11.28,F8,116.51567621,7.44809553, 8.58, 0.551,0.62,0.59,STAR F8,88.6524822695036
HIP 42652,  -42.03,  -60.37,  18.00,G,145.27344599,34.85943762,10.67, 1.000,0.81,0.98,STAR G0,55.5555555555556
HIP 93490,    1.96,  -22.25,  12.18,K0,100.2909438,24.3325663, 8.70, 0.575,0.65,0.72,STAR K0,82.1018062397373
HIP 7613,   49.48,  -31.62,  12.90,G5,127.03149185,6.94411339, 8.41, 0.614,0.68,0.66,STAR G5,77.5193798449612
HIP 48573, -122.22, -101.92,  12.27,G5,141.75040567,40.5984975, 9.35, 0.823,0.85,0.85,STAR G5,81.4995925020375
HIP 28902, -123.76,  -57.23,  31.30,G5,144.60700142,21.45160257, 8.29, 0.783,0.82,0.82,STAR G5,31.9488817891374
HIP 23869,   52.41, -179.70,  23.54,G5,142.12925797,16.92822206, 8.61, 0.785,0.82,0.8,STAR G5,42.4808836023789
HIP 19422,   73.10, -298.47,  54.17,G5,138.77117218,13.02352683, 7.70, 0.952,1,1,STAR G5,18.4604024367731
HIP 105331,    6.68,  -13.12,  10.79,A5,106.28287526,13.86155749, 7.68, 0.324,0.38,0.38,STAR A5,92.678405931418
HIP 86184,  -53.74, -217.54,  23.53,F9V,100.03960509,31.79383492, 6.33, 0.596,0.67,0.66,STAR F9V,42.4989375265618
HIP 53580, -630.00,   56.19,  43.43,M0,136.38200051,44.4422643,10.28, 1.352,1.57,1.57,STAR M0,23.0255583697905
HIP 13133,    2.89,   37.47,  15.99,A3V,132.88551697,9.06569959, 6.26, 0.151,0.17,0.15,STAR A3V,62.5390869293308
HIP 65070,  -22.99,    8.26,  12.17,F5,119.24189538,47.28554209, 8.15, 0.451,0.52,0.52,STAR F5,82.1692686935086
HIP 26109,   -9.96,   75.38,  12.13,F5,143.22355779,18.97124453, 7.85, 0.458,0.53,0.53,STAR F5,82.4402308326463
HIP 96100,  598.43,-1738.81, 173.41,K0V,101.30709825,21.87972341, 4.67, 0.786,0.85,0.85,STAR K0V,5.76668012225362
HIP 104225,  108.95,   66.05,  30.45,K0,105.57779648,14.79035021, 8.19, 0.766,0.81,0.81,STAR K0,32.8407224958949
HIP 89005,  -25.30,  193.89,  32.30,K2,99.96673871,28.89995585, 8.60, 0.942,0.99,0.93,STAR K2,30.9597523219814
HIP 42096, -129.18, -155.11,  15.69,,145.13132613,34.217952, 9.36, 0.700,0.75,0.76,UNIDENTIFIED,63.7348629700446
HIP 40615,  -34.26, -125.04,  17.77,K2,145.50995012,32.74815164, 9.73, 0.945,0.99,1.36,STAR K2,56.274620146314
HIP 40015,  161.36,  117.55,  34.16,F8,145.58714874,32.12838938, 6.54, 0.567,0.65,0.65,STAR F8,29.2740046838408
HIP 60739, -107.46, -180.33,  18.83,G0,126.0584668,47.24907202, 8.47, 0.658,0.72,0.68,STAR G0,53.1067445565587
HIP 48139,  -25.60, -327.42,  31.16,K5,141.77209096,40.01626295, 9.70, 1.552,2.45,2.45,STAR K5,32.0924261874198
HIP 66388,  -13.77,   32.75,  10.43,F5,117.24077903,46.84832365, 8.25, 0.476,0.55,0.9,STAR F5,95.8772770853308
