name,ra,dec,pm_ra,pm_dec,parallax,spect_type,_class,dist
HIP 33737,105.12701251,-79.69625443,3.37,59.56,15.6,K3V,STAR K3V,64.10
HIP 8419,27.1528065,-79.6895287,1.87,12.5,3.3,K5,STAR K5,303.03
HIP 39255,120.41835048,-79.6819244,4.61,-6.74,5.48,F7/F8V,STAR F7V,182.48
HIP 24939,80.13857661,-79.68085214,15.83,-7.07,0.76,K4,STAR K4,"1,315.79"
HIP 72721,223.02285088,-79.67963471,-17.67,9.04,0.71,,UNIDENTIFIED,"1,408.45"
HIP 42539,130.07770704,-79.67389066,142.25,-61.31,18.56,F8V,STAR F8V,53.88
HIP 46556,142.40758001,-79.67212511,-32.88,38.84,3.88,F3/F5IV/V,STAR F3IV,257.73
HIP 37855,116.39835843,-79.66904231,-16.52,42.17,11.97,F8V,STAR F8V,83.54
HIP 55225,169.64252563,-79.66860236,57.7,-20.06,15.5,A8IIIm...,STAR A8III,64.52
HIP 82242,252.04129873,-79.66531005,-5.26,-15.89,0.73,A2/3IIIs:,STAR A2III,"1,369.86"
HIP 3536,11.27280357,-79.66394792,-13.57,2.47,0.59,K1/K2III:,STAR K1III,"1,694.92"
HIP 49423,151.3245301,-79.66285643,-19.46,6.88,4.38,G8/K0III:,STAR G8III,228.31
HIP 66023,203.04532199,-79.66075679,-24.7,-7.88,3.08,K2III,STAR K2III,324.68
HIP 110895,337.01338086,-79.65933599,2.27,-1.88,4.61,K1/K2III:,STAR K1III,216.92
HIP 38916,119.46307887,-79.63267674,-13.09,6.47,3.35,K3III,STAR K3III,298.51
HIP 91271,279.2612143,-79.62913162,-21.01,11.71,9.45,G0V,STAR G0V,105.82
HIP 77492,237.34272974,-79.62341925,-27.07,-51.43,8.83,G3/G5III,STAR G3III,113.25
HIP 74240,227.57884384,-79.6127957,10.6,-2.98,13.58,F3IV/V,STAR F3IV,73.64
HIP 32068,100.49903733,-79.60900098,-0.81,92.09,8.16,F8/G0V,STAR F8V,122.55
HIP 76498,234.35849436,-79.60806015,-27.5,-21.46,6.92,F6V,STAR F6V,144.51
HIP 100416,305.42985597,-79.59763196,13.71,-9.24,6.78,A0/A1V,STAR A1V,147.49
HIP 13673,44.02348624,-79.59206503,-36.09,32.79,4.75,K0III/IV,STAR K0IV,210.53
HIP 47658,145.75723227,-79.59171675,-9.68,40.69,7.94,K2III,STAR K2III,125.94
