name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,dist
HIP 1846,5.83397359,61.21547843,  297.04,   39.93,  16.56,K7,119.55441873,-1.47184679,60.3864734299517
HIP 86346,264.66526651,61.23766799,  -31.25,   59.44,  40.75,M...,90.21867291,32.23817049,24.5398773006135
HIP 25414,81.53086407,61.24211642,   94.82, -256.28,  20.64,G5,150.45632735,14.12311546,48.4496124031008
HIP 47117,144.02521286,61.25370191,   37.51,  -49.26,  10.54,F5,152.58486749,42.96327939,94.876660341556
HIP 71876,220.51315491,61.26198751,   75.99,  -29.54,  23.47,F2V,102.09015701,51.15535313,42.6075841499787
HIP 61081,187.7733562,61.27195731, -104.41,  199.03,  13.47,,127.26681446,55.68473139,74.2390497401633
HIP 26890,85.63177297,61.31272675,  290.89, -130.22,  22.02,K0,151.39968518,15.87165462,45.4132606721163
HIP 10677,34.34582606,61.35179594,   44.60,  -85.24,  19.09,G2V,133.04586441,0.17919928,52.3834468308015
HIP 103454,314.41547131,61.36018972,   58.77,   12.52,  13.57,G5,98.41412561,10.19245981,73.6919675755343
HIP 101719,309.28293549,61.36469163,   23.98,  -43.77,  17.24,F2,96.89213087,12.14655818,58.0046403712297
HIP 69601,213.6858296,61.36589023,   60.46, -182.37,  17.52,K0,106.47833967,53.01994207,57.0776255707763
HIP 79823,244.3805936,61.36872519,  117.68,  -71.03,  12.25,F2,92.75895519,41.72677709,81.6326530612245
HIP 74976,229.82820545,61.37499637,  -37.42,  -17.34,  15.49,G0,97.52918731,47.80862931,64.5577792123951
HIP 62527,192.20751772,61.37814013, -554.84,  100.57,  26.32,G1V,123.48678964,55.74730142,37.9939209726444
HIP 76556,234.52453137,61.42034933, -154.03,   26.79,  13.91,G0,95.72439258,45.92906943,71.8907260963336
HIP 93297,285.05192489,61.42314487,   -9.30,   69.41,  11.31,G5,91.75314333,22.59085787,88.4173297966401
HIP 45333,138.58562984,61.42339501,   -8.67,  -31.84,  51.12,F9V,153.62400015,40.46720792,19.5618153364632
HIP 106066,322.26257103,61.43310903,  -41.55,    4.58,  13.41,F5,101.05146238,7.48847265,74.5712155108128
HIP 71117,218.13862309,61.43797314, -225.99,  115.35,  14.39,K0,103.67886223,51.74425066,69.4927032661571
HIP 40687,124.59173488,61.46064485,  128.33,   31.73,  17.00,G0,155.26324704,33.91873814,58.8235294117647
HIP 99355,302.49859873,61.47371449, -139.06,  192.86,  35.71,G5,95.18844632,14.93826175,28.0033604032484
HIP 27046,86.03525136,61.47653312,  -11.08,    1.07,  10.26,G5III:,151.34229963,16.11885023,97.4658869395712
HIP 31676,99.42350092,61.48190031, -208.21, -274.56,  18.82,G8IV-V,153.87171623,22.0361321,53.134962805526
HIP 68184,209.38373744,61.4923353,  -32.32,  216.48,  98.97,K3V,109.61369967,53.89361558,10.1040719409922
HIP 80331,245.99794523,61.51407536,  -16.98,   56.68,  37.18,G8III,92.58431099,40.95107272,26.8961807423346
HIP 14864,47.98681273,61.52000029,   -2.51,  119.34,  27.13,K5III,138.88052167,3.07838351,36.8595650571323
HIP 13665,43.98642959,61.52106281,  145.07,   30.84,  37.78,F4V,137.21230478,2.15072989,26.4690312334569
HIP 32879,102.77109917,61.5251964,  -35.46,   -9.14,  15.18,K0,154.28040702,23.58864806,65.8761528326746
HIP 37150,114.51966109,61.53330472,   25.45,   22.53,  17.09,F5,155.23072412,29.11660773,58.5137507314219
HIP 5021,16.08145357,61.58024409,  -79.86,  -24.77,  12.47,F6V,124.465085,-1.25313316,80.1924619085806
HIP 12656,40.64909601,61.59368884,   11.14,  -63.81,  18.18,A9III-IV,135.7509126,1.52003616,55.005500550055
HIP 82679,253.51298104,61.64649216,   23.44,   34.23,  11.17,G0,91.49074039,37.47570696,89.5255147717099
HIP 78423,240.15171641,61.66137496, -442.46,   21.05,  29.13,M0,94.20969252,43.46218485,34.3288705801579
HIP 86087,263.89231937,61.68281406,  263.74, -514.14,  70.95,M1,90.76181749,32.59070868,14.0944326990839
HIP 10409,33.52682869,61.68445618,  -36.39,  -29.95,  10.61,F6III,132.56937315,0.36935133,94.2507068803016
HIP 6178,19.81679495,61.69397498,  -46.18,  -30.61,  12.93,F3V,126.22515556,-0.99969849,77.3395204949729
HIP 80243,245.72733059,61.69451733,  115.26,   45.62,  27.56,G5,92.86678415,41.01146574,36.2844702467344
HIP 39407,120.83948558,61.69453638,  -35.09,  -19.10,  12.62,F8,155.10916527,32.12243407,79.2393026941363
HIP 112864,342.84378464,61.69663851,   97.14,   41.95,  14.34,G2IV+...,109.20249837,2.0679186,69.7350069735007
HIP 91258,279.22167774,61.70306934,  -39.02, -232.19,  22.49,G5,91.36288188,25.35741026,44.4642063139173
HIP 14286,46.03645457,61.70751562,  721.02, -693.41,  43.74,G4V,137.98272842,2.77687372,22.8623685413809
HIP 52962,162.48283605,61.71695192, -181.46,  -95.47,  21.20,G,144.78866267,49.93877791,47.1698113207547
HIP 63784,196.10329829,61.7271837, -205.20,  -74.54,  18.01,,120.23108926,55.33297281,55.5247084952804
HIP 41689,127.48197644,61.72749897,  530.62, -716.92,  52.33,M0,154.75599316,35.25549795,19.1094974202179
HIP 60268,185.36874795,61.74788833, -300.60, -262.21,  24.27,G2V,129.11111559,55.01942939,41.2031314379893
HIP 54061,165.93265365,61.75111888, -136.46,  -35.25,  26.38,F7V comp,142.8482474,51.00873373,37.9075056861258
HIP 30278,95.53373399,61.76027203,   -3.13, -119.07,  16.21,F0,152.97108807,20.36594758,61.6903146206046
HIP 56035,172.26959813,61.77778557, -113.93,  239.58,  30.40,F5Vawvar,138.87051638,52.72716913,32.8947368421053
HIP 90833,277.94968545,61.77890188,   -2.14,   77.37,  21.10,K0,91.32900238,25.96362239,47.3933649289099
HIP 25393,81.47878077,61.7830635,  199.75,   12.82,  22.37,K2,149.96572743,14.38223337,44.7027268663388
HIP 34892,108.28295665,61.82127807,   33.98,   14.97,  10.09,G0,154.53185543,26.21001756,99.1080277502478
HIP 102422,311.32195263,61.83679404,   86.08,  817.89,  69.73,K0IV,97.86655138,11.64250386,14.3410296859315
HIP 74370,227.96067365,61.85679089, -162.57,   99.13,  14.86,F7V,98.91871976,48.20352313,67.2947510094213
HIP 74368,227.95957101,61.86122181, -153.96,   98.81,  15.32,B0,98.92432415,48.20108371,65.2741514360313
HIP 86036,263.74687828,61.8758315,  277.38, -525.62,  70.98,G0V,90.99462011,32.65019094,14.0884756269372
HIP 88998,272.47228441,61.88089335,  -55.38,   36.17,  12.80,F8,91.08082244,28.54127289,78.125
HIP 5913,19.0186531,61.90758398,  -58.25,  -57.06,  16.95,F0V,125.8281933,-0.82554178,58.9970501474926
HIP 13588,43.76377357,61.91048512,  -21.57,  -13.96,  20.07,G5V,136.93962131,2.44829343,49.825610363727
HIP 70359,215.93068141,61.93708626,   28.58,   -6.47,  12.07,F8,105.52422706,51.95937637,82.8500414250207
HIP 45200,138.16518299,61.94145156, -107.03,  -43.75,  12.25,F8,153.06084986,40.11557667,81.6326530612245
HIP 53624,164.56417154,61.95070101,  -64.85,  -92.46,  11.07,G0,143.41650417,50.43671396,90.3342366757001
HIP 43644,133.34404121,61.96221364,   -9.98,   22.30,  11.45,F2III,153.83305597,37.92984342,87.3362445414847
HIP 76300,233.79644855,61.97916471,    0.51,   -6.48,  11.49,G5,96.66858362,45.92130261,87.0322019147084
HIP 108170,328.730685,61.9882667,  -74.48, -171.96,  14.88,K2,103.73962647,5.88580821,67.2043010752688
HIP 98962,301.38635475,61.99524822,  123.82,   70.60,  18.78,K3III,95.39258588,15.65284021,53.248136315229
HIP 106400,323.25253434,62.00197884,  370.90,  194.30,  43.20,K,101.78969426,7.57785342,23.1481481481481
HIP 42680,130.49091897,62.01899207,  -44.47,   -3.41,  12.26,,154.11786279,36.608167,81.5660685154976
HIP 42683,130.49626826,62.02342966,  -29.72,   -0.44,  11.92,,154.11184618,36.60979931,83.8926174496644
